latitude,longitude,free_bikes,names,ratings,locations,distances,price,popularity,total_photos,total_ratings
49.264215,-123.117772,5,Charleson Park,8.9,"999 Charleson St, Vancouver BC",581,,0.9949536149949726,332.0,59.0
49.270877,-123.115103,4,Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",312,,0.9970404659369012,208.0,62.0
49.270877,-123.115103,4,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",402,1.0,0.9687351786154692,94.0,44.0
49.270877,-123.115103,4,Hinge Park,7.5,"Columbia St (at Walter Harkwick Ave), Vancouver BC",396,,0.9847470167517216,78.0,11.0
49.270877,-123.115103,4,JJ Bean Coffee Roasters,7.8,"188 1st Ave W (at Columbia St), Vancouver BC V5Y 1A4",437,1.0,0.96812809470509,64.0,70.0
49.270877,-123.115103,4,Honey Salt,8.5,"39 Smithe St, Vancouver BC V6B 0R3",492,,0.9913680256492952,41.0,41.0
49.270877,-123.115103,4,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",515,4.0,0.9513574016808636,29.0,34.0
49.270877,-123.115103,4,Passione Gelato,8.5,"55 Smithe St, Vancouver BC V6B 0R3",503,,0.9677107245167044,10.0,13.0
49.270877,-123.115103,4,The Beaumont Studios,8.2,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",564,,0.9728329950105292,35.0,20.0
49.270877,-123.115103,4,BC Place,8.7,"777 Pacific Blvd (at Expo Blvd.), Vancouver BC V6B 4Y8",601,,0.9997723435336078,3570.0,954.0
49.270877,-123.115103,4,Terra Breads,8.8,"1605 Manitoba St (at Athletes Way), Vancouver BC V5Y 0B8",615,1.0,0.9840450759803456,213.0,146.0
49.26893,-123.11813,4,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",459,2.0,0.954620477699152,137.0,81.0
49.26893,-123.11813,4,Charleson Park,8.9,"999 Charleson St, Vancouver BC",526,,0.9949536149949726,332.0,59.0
49.26893,-123.11813,4,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",488,1.0,0.9687351786154692,94.0,44.0
49.26893,-123.11813,4,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",513,1.0,0.9200166948075356,225.0,69.0
49.26893,-123.11813,4,David Lam Park,9.3,"1300 Pacific Blvd, Vancouver BC V6Z 0A9",572,,0.9986909753182448,656.0,194.0
49.26893,-123.11813,4,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",583,3.0,0.9968507522149076,431.0,364.0
49.26893,-123.11813,4,Cooper's Park,8.8,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",603,,0.9970404659369012,208.0,62.0
49.26893,-123.11813,4,The Beaumont Studios,8.2,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",577,,0.9728329950105292,35.0,20.0
49.26893,-123.11813,4,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",659,4.0,0.9513574016808636,29.0,34.0
49.26893,-123.11813,4,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",642,1.0,0.9569918992240708,171.0,199.0
49.271721,-123.104207,3,Seaside Seawall,9.4,"Quebec St, Vancouver BC",91,,0.9989683836279332,168.0,94.0
49.271721,-123.104207,3,Terra Breads,8.8,"1605 Manitoba St (at Athletes Way), Vancouver BC V5Y 0B8",180,1.0,0.9840450759803456,213.0,146.0
49.271721,-123.104207,3,Legacy Liquor Store,8.6,"1633 Manitoba St (Walter Hardwick Avenue), Vancouver BC V5Y 0B8",193,,0.9762668133786117,131.0,104.0
49.271721,-123.104207,3,Amato Gelato Cafe,8.0,"78 1st Ave E, Vancouver BC V5T 1A1",182,1.0,0.987080495532242,24.0,24.0
49.271721,-123.104207,3,CRAFT Beer Market Vancouver,8.2,"85 1st Ave W (btwn Manitoba & Salt), Vancouver BC V5Y 0C4",195,3.0,0.9835138775587638,885.0,578.0
49.271721,-123.104207,3,Earnest Ice Cream,9.3,"1829 Quebec St (at E 2nd Ave), Vancouver BC V5T 2Z3",327,1.0,0.9818254254330216,267.0,298.0
49.271721,-123.104207,3,Creekside Park,8.9,"1455 Quebec St (at Science World), Vancouver BC V6A 3Z7",342,,0.9990324600178332,198.0,81.0
49.271721,-123.104207,3,Faculty Brewing Co,8.3,"1830 Ontario St (at E 2nd Ave), Vancouver BC V5T 2W6",337,2.0,0.9526853977348182,118.0,58.0
49.271721,-123.104207,3,Mountain Equipment Co-Op,7.8,"111 2nd Ave E (at Quebec Street), Vancouver BC V5T 1B4",304,,0.9900210582231412,13.0,12.0
49.271721,-123.104207,3,Argo Cafe,7.7,"1836 Ontario St (at 3rd Ave.), Vancouver BC V5T 2W6",350,1.0,0.9318548310599306,43.0,36.0
49.287214,-123.11287,23,Miku,9.0,"200 Granville St (West Cordova Street), Vancouver BC V6C 1S4",81,3.0,0.9971163514256988,989.0,615.0
49.287214,-123.11287,23,Granville Square,8.2,"200 Granville St (at W Cordova St), Vancouver BC V6C 1S4",81,,0.9918802526986776,98.0,29.0
