names,ratings,locations,distances,latitude,longitude,price,popularity,total_photos,total_ratings
Homer St. Cafe and Bar,8.7,"898 Homer St (at Smithe St.), Vancouver BC V6B 2W5",200,49.279739,-123.116251,2.0,0.9738953918536928,228.0,191.0
Lupo Restaurant & Vinoteca,8.6,"869 Hamilton St (btwn Smithe & Robson), Vancouver BC V6B 2R7",200,49.279739,-123.116251,2.0,0.9712393997457837,87.0,120.0
Queen Elizabeth Theatre,9.0,"600 Block Hamilton St (at W Georgia St), Vancouver BC V6B 2P1",260,49.279739,-123.116251,,0.9950864146003681,841.0,253.0
The Orpheum,8.8,"601 Smithe St (btwn Smithe & Robson), Vancouver BC V6B 3L4",287,49.279739,-123.116251,,0.9875927225816243,625.0,211.0
Commodore Ballroom,9.1,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",326,49.279739,-123.116251,,0.9736487640151013,729.0,295.0
Gotham Steakhouse & Cocktail Bar,9.2,"615 Seymour St (btwn Dunsmuir & W Georgia), Vancouver BC V6B 3K3",344,49.279739,-123.116251,4.0,0.9869097531824477,167.0,175.0
Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",124,49.277483,-123.114279,4.0,0.9729657946159246,162.0,60.0
Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",118,49.277483,-123.114279,,0.9254614786287492,64.0,71.0
Vancouver Public Library,9.1,"350 Georgia St W (btwn Homer & Hamilton), Vancouver BC V6B 6B1",229,49.277483,-123.114279,,0.9985012615962513,1249.0,389.0
Lupo Restaurant & Vinoteca,8.6,"869 Hamilton St (btwn Smithe & Robson), Vancouver BC V6B 2R7",238,49.277483,-123.114279,2.0,0.9712393997457837,87.0,120.0
Honey Salt,8.5,"39 Smithe St, Vancouver BC V6B 0R3",280,49.277483,-123.114279,,0.9913680256492952,41.0,41.0
BC Place,8.7,"777 Pacific Blvd (at Expo Blvd.), Vancouver BC V6B 4Y8",301,49.277483,-123.114279,,0.9997723435336078,3570.0,954.0
Queen Elizabeth Theatre,9.0,"600 Block Hamilton St (at W Georgia St), Vancouver BC V6B 2P1",325,49.277483,-123.114279,,0.9950864146003681,841.0,253.0
Homer St. Cafe and Bar,8.7,"898 Homer St (at Smithe St.), Vancouver BC V6B 2W5",322,49.277483,-123.114279,2.0,0.9738953918536928,228.0,191.0
Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",388,49.277483,-123.114279,1.0,0.9687731213598679,41.0,94.0
Cafe Medina,9.0,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",390,49.277483,-123.114279,2.0,0.9852402724289048,995.0,1116.0
La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",160,49.275679,-123.116963,4.0,0.9513574016808636,29.0,34.0
Tacofino,9.0,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",194,49.275679,-123.116963,1.0,0.9687731213598679,41.0,94.0
Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",214,49.275679,-123.116963,1.0,0.9421373147919789,52.0,26.0
The Keg Steakhouse + Bar - Yaletown,8.2,"1011 Mainland St (at Nelson St), Vancouver BC V6B 5P9",208,49.275679,-123.116963,3.0,0.9727950522661304,249.0,210.0
The Parlour,8.7,"1011 Hamilton St (btwn Nelson & Helmcken), Vancouver BC V6B 5T4",257,49.275679,-123.116963,2.0,0.9619244559959022,223.0,223.0
Lupo Restaurant & Vinoteca,8.6,"869 Hamilton St (btwn Smithe & Robson), Vancouver BC V6B 2R7",271,49.275679,-123.116963,2.0,0.9712393997457837,87.0,120.0
Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",284,49.275679,-123.116963,3.0,0.9346246514010358,569.0,326.0
Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",305,49.275679,-123.116963,4.0,0.9664775853237465,381.0,317.0
Honey Salt,8.5,"39 Smithe St, Vancouver BC V6B 0R3",292,49.275679,-123.116963,,0.9913680256492952,41.0,41.0
Mister,8.8,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",322,49.275679,-123.116963,1.0,0.9652444461307886,109.0,85.0
Tacofino,8.9,"15 Cordova St W (btwn Abbott & Carrall), Vancouver BC V6B 1C8",161,49.282759,-123.106955,1.0,0.9573713266680579,213.0,311.0
Meet in Gastown,8.9,"12 Water St (btwn Abbott St & Carrall St), Vancouver BC V6B 1A5",164,49.282759,-123.106955,2.0,0.947866669196183,101.0,175.0
Revolver,9.3,"325 Cambie St (btwn Hastings & Cordova), Vancouver BC V6B 2N4",175,49.282759,-123.106955,2.0,0.9730037373603233,970.0,803.0
